VIRCat	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
vir_0003	8	33	3.52636052461616	3.17805383034795	14	3	7	3	3	7	9	9	5	7	5	2	2	53	25	2.15176220325946	2.04122032885964	3.17805383034795	3.58351893845611	1.52605630349505	7	19	9	3	10	5.04342511691925
vir_0004	8	32	3.04452243772342	2.30258509299405	11	3	7	5	3	7	9	5	5	1	5	2	1	56	13	2.61739583283408	2.90142159408275	4.24849524204936	4.70048036579242	2.58021682959233	7	19	8	3	14	4.94164242260930
vir_0005	7	37	3.17805383034795	2.77258872223978	13	3	5	5	3	7	9	9	5	7	5	1	2	51	20	2.89037175789616	2.90142159408275	3.97029191355212	4.36944785246702	2.45958884180371	7	18	9	3	10	5.01063529409626
vir_0021	8	39	2.63905732961526	1.94591014905531	14	1	3	5	7	3	7	5	5	1	5	2	2	65	27	3.48124008933569	3.47506723022861	3.82864139648910	3.91202300542815	2.85647020622048	5	26	14	3	1	6.09807428216624
vir_0023	8	39	3.29583686600433	2.99573227355399	14	1	3	5	7	3	9	5	5	1	5	2	2	70	26	3.88362353090645	3.47506723022861	3.91202300542815	4.06044301054642	2.80940269536250	5	25	13	3	1	6.00388706710654
vir_0024	8	39	2.77258872223978	2.19722457733622	14	1	3	5	7	3	7	9	7	7	7	2	1	65	19	3.60821155104648	4.12713438504509	4.15888308335967	4.14313472639153	3.17387845893747	5	25	15	3	1	6.08677472691231
vir_0026	8	42	3.21887582486820	3.09104245335832	10	1	3	5	5	3	9	5	5	1	5	2	2	55	20	2.66722820658196	3.37073817417745	4.66343909411207	4.94164242260930	2.97552956623647	7	20	10	5	1	5.13579843705026
vir_0027	8	39	3.04452243772342	2.77258872223978	11	1	3	5	5	3	7	7	5	1	5	2	2	40	17	1.36097655313560	2.04122032885964	3.85014760171006	4.12713438504509	1.64865862558738	7	20	10	3	1	4.55387689160054
vir_0028	8	38	3.09104245335832	2.77258872223978	12	1	3	3	5	3	5	7	5	7	5	1	1	46	23	2.09186406167839	2.32238772029023	4.24849524204936	4.55387689160054	2.32238772029023	7	19	9	3	1	4.74493212836325
vir_0030	8	35	3.21887582486820	2.77258872223978	12	1	3	3	5	3	7	9	5	7	5	1	1	43	14	1.72276659774110	2.64617479738412	4.52178857704904	4.31748811353631	1.62924053973028	7	19	8	5	10	4.49980967033027
vir_0031	8	33	3.09104245335832	2.30258509299405	11	1	3	3	5	3	5	9	3	7	5	1	1	42	22	1.54756250871601	1.74046617484050	3.85014760171006	3.71357206670431	1.50407739677627	7	18	9	3	10	4.94164242260930
vir_0033	8	39	3.04452243772342	2.77258872223978	12	3	5	5	3	7	5	5	3	1	5	1	1	35	17	1.02961941718116	1.48160454092422	3.25809653802148	3.52636052461616	1.33500106673234	7	16	8	3	10	4.82831373730230
vir_0034	8	35	3.21887582486820	2.77258872223978	13	3	5	5	3	7	5	5	3	1	5	1	2	50	20	2.14006616349627	3.44680789291421	4.64439089914137	4.07753744390572	1.80828877117927	7	20	10	3	10	5.07517381523383
vir_0036	8	39	3.33220451017520	3.09104245335832	12	1	3	5	5	3	9	9	3	7	5	1	2	55	20	3.02529107579554	3.23080439573347	4.53259949315326	4.72738781871234	2.86220088092947	7	19	9	5	1	5.10594547390058
vir_0037	8	35	3.21887582486820	2.77258872223978	12	3	7	3	3	3	3	9	5	1	5	1	2	40	19	1.02961941718116	1.94591014905531	3.43398720448515	3.78418963391826	1.19392246847243	7	19	10	3	10	4.74493212836325
vir_0038	8	36	2.89037175789616	2.19722457733622	13	3	7	5	5	7	9	9	7	7	5	2	2	60	21	2.39789527279837	3.31781577272310	4.40671924726425	4.47733681447821	2.72785282839839	7	20	10	3	10	5.22035582507833
vir_0039	8	35	2.89037175789616	2.56494935746154	7	3	5	5	3	7	5	9	5	1	5	2	1	40	17	0.955511445027437	2.10413415427021	3.76120011569356	3.87120101090789	1.41098697371026	7	20	9	3	10	4.82831373730230
vir_0040	8	41	3.46573590279973	3.21887582486820	13	3	5	5	3	7	9	7	3	1	5	2	1	70	30	3.23867845216438	1.75785791755237	3.95124371858143	3.80666248977032	1.93152141160321	7	19	10	3	10	5.13579843705026
vir_0041	8	41	3.36729582998647	3.13549421592915	14	3	5	5	3	7	9	7	3	1	5	1	2	58	30	2.50143595173921	2.26176309847379	3.78418963391826	3.95124371858143	2.16332302566054	7	18	8	3	10	5.19295685089021
vir_0042	8	37	2.89037175789616	2.39789527279837	11	3	5	3	3	7	5	7	3	7	5	1	1	45	19	1.74046617484050	2.30258509299405	3.85014760171006	4.17438726989564	2.02814824729229	7	18	9	3	10	5.01063529409626
vir_0043	8	39	2.70805020110221	2.30258509299405	11	3	7	3	3	7	5	9	5	7	5	2	1	37	15	1.13140211149110	2.25129179860650	3.78418963391826	3.91202300542815	1.84054963339749	7	17	9	3	10	5.04342511691925
vir_0111	9	26	1.94591014905531	0.693147180559945	9	3	7	3	5	3	9	9	5	7	5	1	2	55	23	3.12676053596040	3.31054301339402	4.02535169073515	4.26267987704132	2.91235066461494	7	22	11	5	1	5.72031177660741
vir_0125	8	38	2.77258872223978	1.79175946922806	11	1	3	3	5	3	5	7	5	1	5	1	2	53	26	3.13549421592915	2.56494935746154	3.66356164612965	3.13549421592915	1.97408102602201	7	23	12	3	1	5.72031177660741
vir_0143	8	38	2.77258872223978	2.07944154167984	12	1	3	3	5	3	5	9	3	7	5	1	2	55	20	2.34180580614733	2.98568193770049	4.11087386417331	4.00733318523247	2.35137525716348	7	22	11	3	1	5.48063892334199
vir_0167	8	39	3.17805383034795	2.89037175789616	12	1	3	3	7	3	9	7	5	1	5	1	2	55	27	2.66025953726586	2.57261223020711	3.49650756146648	3.46573590279973	2.29253475714054	7	26	13	5	1	5.85793315448346
vir_0172	8	32	3.04452243772342	2.39789527279837	14	3	7	3	3	7	7	9	5	7	5	2	1	53	27	1.91692261218206	2.52572864430826	4.11087386417331	4.27666611901606	1.77495235091167	7	19	9	3	14	4.97673374242057
vir_0187	8	32	2.99573227355399	1.94591014905531	15	3	3	3	7	3	5	9	5	7	5	1	2	56	27	3.07269331469012	2.06686275947298	3.55534806148941	3.25809653802148	1.94591014905531	5	25	15	3	10	5.82894561761021
vir_0189	9	28	3.17805383034795	3.29583686600433	15	1	3	3	5	3	7	9	5	7	5	1	1	60	23	3.54961738678043	2.87356463957978	3.98898404656427	3.71357206670431	2.27212588550934	7	24	13	3	1	5.63478960316925
vir_0192	8	38	2.77258872223978	2.07944154167984	15	3	3	3	3	7	9	9	5	7	7	2	2	25	35	3.43075618390370	2.50143595173921	4.09434456222210	4.48863636973214	2.34180580614733	7	18	8	3	10	4.97673374242057
vir_0196	8	32	3.09104245335832	2.39789527279837	16	2	5	5	5	7	7	9	3	7	7	2	1	66	27	2.61006979274201	3.12236492448736	4.49980967033027	4.72738781871234	2.64617479738412	7	20	10	3	14	5.13579843705026
vir_0199	8	40	2.70805020110221	2.39789527279837	16	3	7	5	7	7	9	9	3	7	7	1	1	60	25	2.50143595173921	1.19392246847243	3.09104245335832	3.21887582486820	1.62924053973028	7	20	11	3	14	5.43807930892320
vir_0201	8	39	2.70805020110221	1.94591014905531	15	1	3	3	5	3	7	9	3	7	7	1	1	55	27	2.84490938381941	3.03013370027132	4.15888308335967	4.12713438504509	2.50143595173921	7	21	11	3	1	5.52146091786225
vir_0202	8	39	2.63905732961526	2.07944154167984	16	2	3	5	5	3	7	9	3	7	5	1	2	66	23	2.51769647261099	3.18635263316264	4.06044301054642	3.97029191355212	2.06686275947298	7	20	10	3	10	5.01063529409626
vir_0203	8	35	2.94443897916644	2.63905732961526	7	1	3	5	5	3	7	7	5	1	5	1	2	50	21	2.06686275947298	1.96009478404727	3.73766961828337	3.55534806148941	1.25276296849537	7	20	10	3	1	4.86753445045558
vir_0204	8	38	2.83321334405622	2.30258509299405	15	1	3	5	5	3	7	9	5	7	5	1	1	50	22	2.44234703536920	2.28238238567653	3.93182563272433	3.89182029811063	1.48160454092422	7	20	10	3	1	4.74493212836325
vir_0205	8	37	2.83321334405622	2.19722457733622	14	1	3	5	5	3	7	9	3	7	5	2	2	60	25	2.31253542384721	2.93916192206560	4.14313472639153	3.80666248977032	1.77495235091167	7	20	10	3	1	4.65396035015752
vir_0206	8	38	2.83321334405622	2.19722457733622	14	1	3	3	5	3	5	9	3	7	5	2	1	50	23	2.36085400111802	2.16332302566054	3.66356164612965	3.71357206670431	1.45861502269952	7	20	10	3	1	4.86753445045558
vir_0207	8	38	2.77258872223978	2.07944154167984	14	1	3	3	5	3	5	9	3	7	5	1	2	60	20	2.90142159408275	3.45315712059287	5.03043792139244	4.87519732320115	2.73436750941958	7	20	9	5	1	4.97673374242057
vir_0208	8	36	2.89037175789616	2.07944154167984	14	1	3	5	5	3	5	9	3	7	5	1	1	60	18	2.37024374146786	2.71469474382088	4.65396035015752	4.40671924726425	2.23001440015921	7	20	10	5	1	4.97673374242057
vir_0209	8	39	2.77258872223978	2.19722457733622	16	2	3	5	5	3	7	9	3	7	7	1	1	70	30	3.10009228887823	3.59731226058845	4.78749174278205	4.86753445045558	3.09557760852371	7	20	10	3	10	5.41610040220442
vir_0210	8	39	2.77258872223978	2.19722457733622	16	2	3	5	5	3	7	9	3	7	5	1	1	67	31	2.99573227355399	2.68102152871429	3.82864139648910	3.80666248977032	2.12823170584927	7	21	11	3	10	5.32300997913841
vir_0212	8	38	2.70805020110221	1.94591014905531	14	3	7	5	5	7	7	9	3	7	5	2	1	60	30	2.99071973173045	1.93152141160321	4.14313472639153	4.24849524204936	2.18605127673809	7	22	11	3	10	5.27299955856375
vir_0215	8	39	2.63905732961526	1.60943791243410	14	1	3	5	5	3	5	9	3	7	5	1	1	65	25	3.25037449192757	3.25809653802148	4.20469261939097	4.06044301054642	2.46809953147162	7	20	10	5	1	5.54126354515843
vir_0216	8	37	2.83321334405622	2.07944154167984	14	3	7	3	3	7	7	9	5	7	5	1	1	55	19	2.49320545260270	2.47653840011748	4.29045944114839	4.18965474202643	2.16332302566054	7	20	10	3	10	5.07517381523383
vir_0217	8	39	2.70805020110221	1.94591014905531	12	3	7	3	3	7	5	9	5	7	5	1	1	53	22	2.18605127673809	2.66025953726586	4.44265125649032	4.39444915467244	2.50143595173921	7	20	10	3	10	5.13579843705026
vir_0218	8	39	3.09104245335832	2.30258509299405	13	1	3	3	3	3	5	9	5	7	5	1	2	60	22	3.12236492448736	3.11351530921037	4.20469261939097	3.46573590279973	1.74046617484050	7	21	10	3	1	5.24702407216049
vir_0220	8	39	2.63905732961526	0	12	1	3	5	3	3	5	9	3	1	5	1	2	60	21	2.87919845729804	2.72129542785223	3.91202300542815	3.87120101090789	2.16332302566054	7	21	11	5	1	5.29831736654804
