Sample	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity
V_248	1	1	2	5	72.5	1	0	133	5	0	11.3	38.8	19.2	125
V_249	1	1	0	5	77.5	0	0	123	5	0	14.6	40.4	21.7	161
V_250	1	1	2	3.5	102.5	0	0	143	6	0	nan	nan	nan	nan
V_251	1	1	0	2	72.5	0.5	0.5	98	2	40	16.6	43.2	22.2	182
V_252	1	1	0	3	77.5	0	0	112	4	15	21.7	41.8	22.7	239
V_253	1	1	0	3	72.5	0.5	0	113	4	5	23.5	41.8	22.4	259
V_254	1	1	0	3	72.5	0.5	0	112	4	10	21.6	41.7	22.7	238
V_255	1	1	0	3	72.5	0.5	0	100	3	40	15.4	39.6	23.8	169
V_256	1	1	0	3	82.5	0.5	0	102	3	15	15.8	43.2	22.2	174
V_257	1	1	0	3	72.5	0.5	0.5	100	3	30	16.9	41.4	23.3	186
V_258	1	1	0	4	77.5	0.5	0	110	3	20	13.3	43.8	21.2	146
V_259	1	1	0	3	72.5	0.5	0	110	3	25	15.5	41.7	22.4	171
V_260	1	1	0	3	87.5	0.5	0	110	3	20	15.8	42.7	22.6	174
V_261	1	1	0	3	77.5	0.5	0	110	3	25	15.5	42.6	23.3	171
V_262	1	1	0	3	72.5	0.5	0	110	3	25	15.8	41.7	23.9	173
V_263	1	1	0	3	72.5	0.5	0	102	3	15	19.4	42.4	22.4	213
V_264	1	1	0	3	77.5	0	0	98	2	40	13.1	42.7	23.8	144
V_265	1	1	0	3	77.5	0.5	0	102	3	10	18.8	41.3	23.9	206
V_266	1	1	0	3	77.5	0.5	0	102	3	20	16.3	41.1	23.2	180
V_267	1	1	0	3	72.5	0.5	0	110	3	15	17	40.7	23.6	187
V_268	1	1	0	3	77.5	0.5	0	110	3	15	16.9	40.3	24.6	186
V_269	1	1	0	3	77.5	0.5	0	109	3	10	20.7	43.1	20.9	228
V_270	1	1	0	4	87.5	0.5	0	111	4	15	16.2	40.3	22.9	178
V_271	1	0	0	3	72.5	0.5	0	96	2	30	13.9	40.8	23.1	153
V_272	2	1	0	3	67.5	0	0	97	2	0	17.3	39.6	23.5	190
V_273	1	1	0	3	82.5	0	0	100	3	5	18.6	39.5	23.6	204
V_274	2	1	0	4	105	0	0	113	4	5	23.8	39.1	22	262
V_275	1	0	0	3	87.5	0	0	110	3	5	24.1	40.9	22	265
V_276	1	1	0	3	87.5	0	0	110	3	15	17.4	39.7	21.6	192
V_277	1	0	0	3	87.5	0	0	113	4	0	23.2	39.3	23.5	255
V_278	1	1	0	3	77.5	0.5	0	113	4	10	20.4	38.2	22.7	225
V_279	1	1	0	3	87.5	0.5	0	110	3	5	17.4	43.9	21.4	191
V_280	1	0	0	3	92.5	0	0.5	111	4	5	21.1	40.7	22	232
V_281	2	0	0	3	77.5	0	0	109	3	20	20.8	39.6	23.7	228
V_282	1	1	0	3	87.5	0.5	0	111	4	5	26	41.6	21.9	286
V_283	1	1	0	3	77.5	0.5	0	111	4	10	18.8	39.9	22.7	206
V_284	1	0	0	3	97.5	0	0.5	110	3	5	16.8	38.7	23.2	185
V_285	1	0	0	3	97.5	0.5	0	113	4	0	16.8	39.9	23	185
V_286	1	0	0	4.5	105	0	0	113	4	0	21.9	37.9	23.7	241
V_287	1	1	0	3	82.5	0	0	110	3	5	17.4	39.7	22.9	192
V_288	1	1	0	3	87.5	0	0	111	4	5	20.2	41.8	22.6	223
V_289	1	1	0	3	67.5	0.5	0	111	4	5	23.9	40.2	22.2	263
V_290	1	1	0	3	82.5	0.5	0	110	3	0	19	41.4	23.6	209
V_291	1	1	0	3	72.5	0.5	0	110	3	0	15.7	42.4	23.6	173
V_292	1	1	0	4	72.5	0.5	0	98	2	5	17.9	40.2	23.3	197
V_293	1	1	0	3	72.5	0.5	0	98	2	0	16.9	40.2	23.5	186
V_294	1	1	0	3	72.5	0.5	0	98	2	0	17.3	40.7	23.3	190
V_295	1	1	0	2.5	77.5	0.5	0	98	2	5	17.4	41.8	21.9	192
V_296	1	1	0	3	57.5	0.5	0	98	2	0	18.9	42.6	23	208
V_297	1	1	0	3	62.5	0.5	0	98	2	0	18.9	42.4	23.1	208
V_298	1	1	0	3	82.5	0.5	0	98	2	0	19.6	41.4	23.2	216
V_299	1	1	0	3	72.5	0.5	0	98	2	0	19.6	42.4	22.3	216
V_300	1	1	0	3	72.5	0.5	0	98	2	0	22.2	41.8	22.8	244
V_301	1	1	0	3	72.5	0.5	0	98	2	0	20.1	42.2	22.6	221
V_302	1	1	0	3	72.5	0.5	0	98	2	0	20.7	42.5	22.4	228
V_303	1	1	0	3	72.5	0.5	0	98	2	0	18.5	43.6	23.3	203
V_304	1	1	0	3	77.5	0.5	0	98	2	5	16.7	42.3	23.2	184
V_305	1	1	0	3	72.5	0.5	0	98	2	0	16.5	42.6	22.9	182
V_306	1	1	0	3	72.5	0.5	0	98	2	5	15.8	43.1	22.7	174
V_307	1	1	0	3	77.5	0.5	0	98	2	5	15.7	42.9	22.2	172
V_308	1	1	0	3	82.5	0.5	0	98	2	5	17.9	39.8	23.6	197
V_309	1	1	0	3	77.5	0.5	0	109	3	5	22.1	41.3	22.5	243
V_310	1	1	0	3	82.5	0.5	0	107	3	5	19.8	43.4	22.1	218
V_311	1	1	1	3.5	57.5	1	0	109	3	5	20.6	42.8	22.8	227
V_312	1	1	0	4	77.5	1	0	109	3	5	21.1	41.4	22.5	232
V_313	1	1	0	4	77.5	1	0	110	3	5	22.9	41.5	23.7	252
V_314	1	1	0	4	77.5	0.5	0	110	3	5	20.8	40.7	23.3	229
V_315	1	1	0	4	67.5	1	0	109	3	5	20.1	42.1	22	221
V_316	1	1	0	4	77.5	0.5	0	111	4	5	19	39.9	22.7	210
V_317	1	1	1	4	72.5	1	0	114	4	10	16.7	42.3	22.8	184
V_318	1	1	0	4	67.5	1	0	112	4	5	20.1	40.5	24.2	221
V_319	1	1	0	4	87.5	1	0	111	4	0	21.8	38.9	23	239
V_320	1	1	0	4	82.5	1	0	118	4	5	18.7	42.2	21.3	205
V_321	1	1	0	3.5	62.5	1	0	119	4	0	19	38.5	24.6	209
V_322	1	1	1	3.5	82.5	0.5	0	112	4	5	17.3	39.6	23.6	191
V_323	1	1	0	3.5	72.5	1	0	115	4	5	19.5	41.8	22.6	215
V_324	1	1	0	3.5	95	0.5	0	115	4	0	19.8	39.6	24	218
V_325	1	1	0	4.5	87.5	1	0	118	4	0	18.6	38.7	22.9	204
V_326	1	1	0	5	77.5	1	0	118	4	0	20.8	41.3	21.2	229
V_327	1	1	0	4.5	105	1	0	131	5	0	11.6	40.5	20.2	127
V_328	1	1	0	4.5	102.5	0.5	0	114	4	5	16.5	40.5	23.1	181
V_329	1	1	0	4.5	87.5	1	0	129	5	0	16.5	41.6	21.2	182
V_330	1	1	0	4	77.5	1	0	116	4	10	17.5	42.1	21.7	192
