	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity	ilr1	ilr2
V_182	2	1	1	5	97.5	0	0	123	5	5	17.4	38.6	21.5	192	0.413798422605412	-0.265952302150504
V_183	1	0	0	4.5	57.5	1	0	129	5	0	12.3	40.7	20.2	135	0.495360465123706	-0.253250391823274
V_184	2	1	2	4	82.5	0	0	114	4	10	27.6	39.5	21	304	0.446734673597323	-0.257922384057754
V_185	1	1	0	4.5	97.5	0	0	123	5	0	12.4	39.3	20.2	136	0.470609200884239	-0.296264488177874
V_186	1	1	2	3	37.5	1	0	98	2	10	13	44.3	18.7	143	0.609852129931006	-0.205074393904609
V_187	1	1	2	3.5	67.5	0.5	0	110	3	10	24.3	40.4	22.4	267	0.41702953627206	-0.173393981330788
V_188	1	1	2	3.5	105	0	0	114	4	5	25.4	36.1	23.2	279	0.31264060706973	-0.278429841519189
V_189	1	1	2	4	77.5	1	0	107	3	0	21.7	45.1	17.9	239	0.653424318821611	-0.215617504620781
V_190	1	1	2	4	97.5	0	0	114	4	5	29.4	37.1	23.1	323	0.335016128179832	-0.250780489793633
V_191	1	1	2	3.5	67.5	1	0	109	3	0	25.2	46.3	18.4	277	0.652511983358988	-0.155245925520511
V_192	1	1	2	3	42.5	1	0	104	3	20	12.9	41.2	19.9	142	0.514574703557431	-0.250187009342835
V_193	1	1	2	3.5	82.5	1	0	113	4	10	19	43.2	20.2	209	0.537512799387482	-0.174964350195832
V_194	1	1	0	3	72.5	1	0	106	3	0	25.1	38.4	21.9	276	0.397090536898042	-0.256444543530287
V_195	1	1	2	3	77.5	0.5	0	102	3	60	14.5	40.1	21.1	160	0.454035593289766	-0.235229039093352
V_196	1	0	2	1	32.5	1	0	83	1	40	5.3	45.5	17.2	59	0.687875557143649	-0.234891754586194
V_197	1	1	2	1	27.5	1	0	83	1	20	4.4	45.1	17	48	0.68990209711694	-0.256300984913936
V_198	2	1	0	3	72.5	0.5	0.5	92	2	5	17.7	36.2	23.1	195	0.31765110536075	-0.279064017537358
V_199	1	1	2	1.5	72.5	0.5	0	85	1	5	11.8	42.1	20.5	130	0.508850200344864	-0.197130354773245
V_200	1	1	2	1.5	62.5	0.5	0	86	1	20	7.8	40.6	19.8	86	0.507763571226276	-0.272794868474712
V_201	1	0	0	2	77.5	0	0	91	2	0	15.7	38.7	22.4	173	0.386630884982626	-0.227430200103263
V_202	1	0	0	2	72.5	0	0	100	3	60	21.3	40	22.4	235	0.409993589850735	-0.186188853887002
V_203	1	1	2	2	62.5	0.5	0	98	2	50	16.2	44.4	19.7	178	0.57460970203866	-0.15824376768605
V_204	1	1	2	3	72.5	0	0	100	3	60	13.6	41.6	19.9	149	0.52140670628234	-0.237803234451582
V_205	2	0	0	3	62.5	1	0	94	2	10	20.4	41.9	20.8	224	0.495210100407776	-0.190957255911064
V_206	1	1	0	3	52.5	0.5	0	106	3	30	16.4	42.8	20.6	180	0.517069731367277	-0.170756911174531
V_207	1	0	0	3	67.5	0	0	104	3	30	19.3	41.3	22.4	212	0.432609018456428	-0.144402328997602
V_208	1	1	2	3	62.5	0.5	0	100	3	30	10.4	46.1	20.2	114	0.583455262733337	-0.0810373347721507
V_209	1	1	0	3	72.5	1	0.5	97	2	0	19.8	44.9	20.3	218	0.561313319162642	-0.116014404061973
V_210	1	1	2	2	77.5	0	0	102	3	30	13.8	43.1	20.4	152	0.52890745511193	-0.169654363502188
V_211	1	1	2	2	57.5	0.5	0	102	3	20	9.8	42.7	19	108	0.5725867454625	-0.241789905312784
V_212	1	1	2	3	77.5	0.5	0	107	3	15	19.9	43.9	21.7	219	0.498228894335002	-0.0885435624991562
V_213	1	1	2	3	62.5	0.5	0	110	3	10	21	41.4	21.7	231	0.456768791837138	-0.169761870585668
V_214	1	1	2	3	57.5	0.5	1	102	3	25	12.7	44.1	20	140	0.559128783613094	-0.154841446509069
V_215	2	1	0	3	62.5	1	0	102	3	30	11	43	22.4	121	0.461132020073586	-0.0887720759858053
V_216	1	1	2	3	57.5	1	0	106	3	30	14.9	44.4	21.8	164	0.502985912855695	-0.067676203271775
V_217	1	1	0	3.5	77.5	1	0	107	3	5	15.1	42	22.3	167	0.447657239798324	-0.12575887763128
V_218	1	1	2	3	82.5	0	0	107	3	40	10.2	38.9	22.9	113	0.374665718220867	-0.201486808219776
V_219	1	1	2	3	67.5	1	0	110	3	5	14.7	43	20.7	162	0.516942019842807	-0.160156484726071
V_220	1	1	2	3	62.5	0.5	0	113	4	15	15.8	41	22.2	173	0.433795711021633	-0.162209838166446
V_221	1	1	2	2	72.5	0.5	0	114	4	40	13.3	38	23	147	0.35503261823816	-0.226187073547096
